Flow;Density;AveSpeed;Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday
6;0.2553191489361702;23.5;0;0;0;0;0;0;1
17;0.5814889336016097;29.235294117647058;0;0;0;0;0;0;1
15;0.6016042780748663;24.933333333333334;0;0;0;0;0;0;1
18;0.6545454545454545;27.5;0;0;0;0;0;0;1
14;0.717948717948718;19.5;0;0;0;0;0;0;1
14;0.6805555555555555;20.571428571428573;0;0;0;0;0;0;1
6;0.33644859813084116;17.833333333333332;0;0;0;0;0;0;1
8;0.39263803680981596;20.375;0;0;0;0;0;0;1
11;0.545045045045045;20.181818181818183;0;0;0;0;0;0;1
15;0.6392045454545455;23.466666666666665;0;0;0;0;0;0;1
10;0.5649717514124294;17.7;0;0;0;0;0;0;1
13;0.6926229508196721;18.76923076923077;0;0;0;0;0;0;1
11;0.7658227848101266;14.363636363636363;0;0;0;0;0;0;1
8;0.39751552795031053;20.125;0;0;0;0;0;0;1
8;0.3368421052631579;23.75;0;0;0;0;0;0;1
7;0.3550724637681159;19.714285714285715;0;0;0;0;0;0;1
8;0.32323232323232326;24.75;0;0;0;0;0;0;1
4;0.27586206896551724;14.5;0;0;0;0;0;0;1
5;0.26881720430107525;18.6;0;0;0;0;0;0;1
8;0.4025157232704403;19.875;0;0;0;0;0;0;1
6;0.26277372262773724;22.833333333333332;0;0;0;0;0;0;1
7;0.310126582278481;22.571428571428573;0;0;0;0;0;0;1
3;0.22499999999999998;13.333333333333334;0;0;0;0;0;0;1
9;0.47928994082840237;18.77777777777778;0;0;0;0;0;0;1
2;0.1;20.0;0;0;0;0;0;0;1
1;0.0625;16.0;0;0;0;0;0;0;1
3;0.09;33.333333333333336;0;0;0;0;0;0;1
5;0.25252525252525254;19.8;0;0;0;0;0;0;1
2;0.0784313725490196;25.5;0;0;0;0;0;0;1
4;0.11594202898550725;34.5;0;0;0;0;0;0;1
4;0.14545454545454545;27.5;0;0;0;0;0;0;1
2;0.09302325581395349;21.5;0;0;0;0;0;0;1
4;0.16;25.0;0;0;0;0;0;0;1
2;0.13793103448275862;14.5;0;0;0;0;0;0;1
6;0.2769230769230769;21.666666666666668;0;0;0;0;0;0;1
2;0.12121212121212122;16.5;0;0;0;0;0;0;1
5;0.2066115702479339;24.2;0;0;0;0;0;0;1
6;0.2553191489361702;23.5;0;0;0;0;0;0;1
4;0.1553398058252427;25.75;0;0;0;0;0;0;1
4;0.1415929203539823;28.25;0;0;0;0;0;0;1
0;0.0;0.0;0;0;0;0;0;0;1
6;0.2748091603053435;21.833333333333332;0;0;0;0;0;0;1
2;0.06666666666666667;30.0;0;0;0;0;0;0;1
1;0.047619047619047616;21.0;0;0;0;0;0;0;1
2;0.057971014492753624;34.5;0;0;0;0;0;0;1
8;0.2909090909090909;27.5;0;0;0;0;0;0;1
2;0.044444444444444446;45.0;0;0;0;0;0;0;1
2;0.09302325581395349;21.5;0;0;0;0;0;0;1
