Flow;Density;AveSpeed;Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday
23;0.8291536050156739;27.73913043478261;0;0;0;0;0;0;1
33;1.2531645569620253;26.333333333333332;0;0;0;0;0;0;1
28;1.3975044563279857;20.035714285714285;0;0;0;0;0;0;1
14;0.725925925925926;19.285714285714285;0;0;0;0;0;0;1
26;1.1777003484320558;22.076923076923077;0;0;0;0;0;0;1
23;1.2565320665083135;18.304347826086957;0;0;0;0;0;0;1
19;1.1316614420062696;16.789473684210527;0;0;0;0;0;0;1
15;0.6859756097560975;21.866666666666667;0;0;0;0;0;0;1
12;0.5625;21.333333333333332;0;0;0;0;0;0;1
13;0.6706349206349207;19.384615384615383;0;0;0;0;0;0;1
13;0.5728813559322034;22.692307692307693;0;0;0;0;0;0;1
12;0.6889952153110047;17.416666666666668;0;0;0;0;0;0;1
3;0.1607142857142857;18.666666666666668;0;0;0;0;0;0;1
8;0.32160804020100503;24.875;0;0;0;0;0;0;1
6;0.19047619047619047;31.5;0;0;0;0;0;0;1
6;0.23529411764705882;25.5;0;0;0;0;0;0;1
6;0.27906976744186046;21.5;0;0;0;0;0;0;1
8;0.39263803680981596;20.375;0;0;0;0;0;0;1
11;0.46183206106870234;23.818181818181817;0;0;0;0;0;0;1
8;0.2962962962962963;27.0;0;0;0;0;0;0;1
7;0.3223684210526316;21.714285714285715;0;0;0;0;0;0;1
3;0.1111111111111111;27.0;0;0;0;0;0;0;1
10;0.34602076124567477;28.9;0;0;0;0;0;0;1
4;0.12030075187969924;33.25;0;0;0;0;0;0;1
13;0.3858447488584475;33.69230769230769;0;0;0;0;0;0;1
9;0.26129032258064516;34.44444444444444;0;0;0;0;0;0;1
27;0.82559456398641;32.7037037037037;0;0;0;0;0;0;1
27;0.944300518134715;28.59259259259259;0;0;0;0;0;0;1
38;1.2247667514843088;31.026315789473685;0;0;0;0;0;0;1
25;0.9164222873900293;27.28;0;0;0;0;0;0;1
35;1.1248852157943068;31.114285714285714;0;0;0;0;0;0;1
51;1.5966850828729282;31.941176470588236;0;0;0;0;0;0;1
40;1.2688342585249803;31.525;0;0;0;0;0;0;1
44;1.4846625766871167;29.636363636363637;0;0;0;0;0;0;1
38;1.313921747042766;28.92105263157895;0;0;0;0;0;0;1
52;1.6558481322718923;31.403846153846153;0;0;0;0;0;0;1
55;1.6749723145071982;32.836363636363636;0;0;0;0;0;0;1
61;1.8984693877551022;32.131147540983605;0;0;0;0;0;0;1
72;2.22871883061049;32.30555555555556;0;0;0;0;0;0;1
54;1.7193396226415094;31.40740740740741;0;0;0;0;0;0;1
72;2.21160409556314;32.55555555555556;0;0;0;0;0;0;1
72;2.2012738853503184;32.708333333333336;0;0;0;0;0;0;1
68;2.141732283464567;31.75;0;0;0;0;0;0;1
89;2.653601340033501;33.53932584269663;0;0;0;0;0;0;1
75;2.398720682302772;31.266666666666666;0;0;0;0;0;0;1
84;2.654627539503386;31.642857142857142;0;0;0;0;0;0;1
105;3.138343296327925;33.457142857142856;0;0;0;0;0;0;1
89;2.7323214901690234;32.57303370786517;0;0;0;0;0;0;1
100;3.104625892579944;32.21;0;0;0;0;0;0;1
92;2.8604258195336265;32.16304347826087;0;0;0;0;0;0;1
94;2.9760862243179522;31.585106382978722;0;0;0;0;0;0;1
79;2.5104585679806917;31.468354430379748;0;0;0;0;0;0;1
70;2.3244781783681217;30.114285714285714;0;0;0;0;0;0;1
