,RunId,iteration,Step,N,D,width,height,gini,wealth_standard_deviation
88,88,88,1000,100,1,10,10,0.6138,1.2143918126978108
89,89,89,1000,100,1,10,10,0.6248,1.2390938363794468
90,90,90,1000,100,1,10,10,0.6864,1.4142135623730951
91,91,91,1000,100,1,10,10,0.5831999999999999,1.1891767800211264
92,92,92,1000,100,1,10,10,0.6022000000000001,1.2143918126978108
93,93,93,1000,100,1,10,10,0.5984,1.247219128924647
94,94,94,1000,100,1,10,10,0.6688000000000001,1.348399724926484
95,95,95,1000,100,1,10,10,0.606,1.2390938363794468
96,96,96,1000,100,1,10,10,0.6106,1.1720654306553768
97,97,97,1000,100,1,10,10,0.6033999999999999,1.145919418253881
98,98,98,1000,100,1,10,10,0.649,1.2870763988845637
99,99,99,1000,100,1,10,10,0.6282000000000001,1.340887690293187
100,100,100,1000,100,1,10,10,0.618,1.2870763988845637
101,101,101,1000,100,1,10,10,0.6532,1.3257359305592338
102,102,102,1000,100,1,10,10,0.6082000000000001,1.1806521053804944
103,103,103,1000,100,1,10,10,0.6134,1.247219128924647
104,104,104,1000,100,1,10,10,0.5944,1.1547005383792515
105,105,105,1000,100,1,10,10,0.5534,1.044465935734187
106,106,106,1000,100,1,10,10,0.5926,1.1370704872299224
107,107,107,1000,100,1,10,10,0.6178,1.2060453783110545
108,108,108,1000,100,1,10,10,0.6306,1.2792042981336627
109,109,109,1000,100,1,10,10,0.6714,1.340887690293187
110,110,110,1000,100,1,10,10,0.603,1.1634153830577252
111,111,111,1000,100,1,10,10,0.6335999999999999,1.2390938363794468
112,112,112,1000,100,1,10,10,0.6384000000000001,1.2712834523274563
113,113,113,1000,100,1,10,10,0.6013999999999999,1.1806521053804944
114,114,114,1000,100,1,10,10,0.6477999999999999,1.348399724926484
115,115,115,1000,100,1,10,10,0.644,1.318094737632215
116,116,116,1000,100,1,10,10,0.5476000000000001,1.0249414863810766
117,117,117,1000,100,1,10,10,0.5834,1.1101005505463153
118,118,118,1000,100,1,10,10,0.6052,1.1547005383792515
119,119,119,1000,100,1,10,10,0.5976,1.1547005383792515
120,120,120,1000,100,1,10,10,0.667,1.4142135623730951
121,121,121,1000,100,1,10,10,0.6714,1.3558701406786118
122,122,122,1000,100,1,10,10,0.6044,1.2552918289216957
123,123,123,1000,100,1,10,10,0.5782,1.0917505172516255
124,124,124,1000,100,1,10,10,0.6572,1.3333333333333333
125,125,125,1000,100,1,10,10,0.6112,1.1806521053804944
126,126,126,1000,100,1,10,10,0.5638000000000001,1.0917505172516255
127,127,127,1000,100,1,10,10,0.6186,1.2143918126978108
128,128,128,1000,100,1,10,10,0.6186,1.2143918126978108
129,129,129,1000,100,1,10,10,0.569,1.0917505172516255
130,130,130,1000,100,1,10,10,0.615,1.1806521053804944
131,131,131,1000,100,1,10,10,0.5588,1.063632046956621
132,132,132,1000,100,1,10,10,0.657,1.318094737632215
133,133,133,1000,100,1,10,10,0.6546000000000001,1.3632996217214537
134,134,134,1000,100,1,10,10,0.6092,1.2390938363794468
135,135,135,1000,100,1,10,10,0.6214,1.2390938363794468
136,136,136,1000,100,1,10,10,0.5826,1.1009637651263606
137,137,137,1000,100,1,10,10,0.5194000000000001,0.9847319278346619
138,138,138,1000,100,1,10,10,0.622,1.263312944586414
139,139,139,1000,100,1,10,10,0.5816,1.2226812728383039
140,140,140,1000,100,1,10,10,0.6374,1.263312944586414
141,141,141,1000,100,1,10,10,0.637,1.2870763988845637
142,142,142,1000,100,1,10,10,0.6556,1.3706888336846839
143,143,143,1000,100,1,10,10,0.6022000000000001,1.1634153830577252
144,144,144,1000,100,1,10,10,0.6868000000000001,1.4213381090374029
145,145,145,1000,100,1,10,10,0.5868,1.1370704872299224
146,146,146,1000,100,1,10,10,0.6246,1.2309149097933274
147,147,147,1000,100,1,10,10,0.6158,1.1976407785072427
148,148,148,1000,100,1,10,10,0.5680000000000001,1.1009637651263606
149,149,149,1000,100,1,10,10,0.6268,1.318094737632215
150,150,150,1000,100,1,10,10,0.569,1.0917505172516255
151,151,151,1000,100,1,10,10,0.6058,1.1720654306553768
152,152,152,1000,100,1,10,10,0.6382,1.2870763988845637
153,153,153,1000,100,1,10,10,0.6218,1.2226812728383039
154,154,154,1000,100,1,10,10,0.5866,1.1720654306553768
155,155,155,1000,100,1,10,10,0.663,1.4564381625088383
156,156,156,1000,100,1,10,10,0.5988,1.1720654306553768
157,157,157,1000,100,1,10,10,0.6162000000000001,1.2949006435891817
158,158,158,1000,100,1,10,10,0.5888,1.1720654306553768
159,159,159,1000,100,1,10,10,0.5838,1.119162746219357
160,160,160,1000,100,1,10,10,0.6597999999999999,1.4142135623730951
161,161,161,1000,100,1,10,10,0.529,0.9949366763261821
162,162,162,1000,100,1,10,10,0.626,1.2226812728383039
163,163,163,1000,100,1,10,10,0.6022000000000001,1.1806521053804944
164,164,164,1000,100,1,10,10,0.5194000000000001,0.9949366763261821
165,165,165,1000,100,1,10,10,0.6046,1.1720654306553768
166,166,166,1000,100,1,10,10,0.6104,1.2060453783110545
167,167,167,1000,100,1,10,10,0.5811999999999999,1.1281521496355325
168,168,168,1000,100,1,10,10,0.6096,1.1891767800211264
169,169,169,1000,100,1,10,10,0.5888,1.1281521496355325
170,170,170,1000,100,1,10,10,0.6066,1.2060453783110545
171,171,171,1000,100,1,10,10,0.615,1.1806521053804944
172,172,172,1000,100,1,10,10,0.6304000000000001,1.247219128924647
173,173,173,1000,100,1,10,10,0.6056,1.2143918126978108
174,174,174,1000,100,1,10,10,0.601,1.2143918126978108
175,175,175,1000,100,1,10,10,0.6006,1.145919418253881
176,176,176,1000,100,1,10,10,0.6212,1.2712834523274563
177,177,177,1000,100,1,10,10,0.6522,1.3026778945578592
178,178,178,1000,100,1,10,10,0.6416,1.3026778945578592
179,179,179,1000,100,1,10,10,0.617,1.2309149097933274
180,180,180,1000,100,1,10,10,0.5936,1.1806521053804944
181,181,181,1000,100,1,10,10,0.5718000000000001,1.1101005505463153
182,182,182,1000,100,1,10,10,0.6116,1.1720654306553768
183,183,183,1000,100,1,10,10,0.579,1.1281521496355325
184,184,184,1000,100,1,10,10,0.6246,1.2390938363794468
185,185,185,1000,100,1,10,10,0.593,1.1634153830577252
186,186,186,1000,100,1,10,10,0.6504000000000001,1.4354811251305468
187,187,187,1000,100,1,10,10,0.6514,1.2792042981336627
188,188,188,1000,100,1,10,10,0.619,1.1976407785072427
189,189,189,1000,100,1,10,10,0.64,1.340887690293187
190,190,190,1000,100,1,10,10,0.629,1.2552918289216957
191,191,191,1000,100,1,10,10,0.5933999999999999,1.1720654306553768
192,192,192,1000,100,1,10,10,0.577,1.119162746219357
193,193,193,1000,100,1,10,10,0.6532,1.4213381090374029
194,194,194,1000,100,1,10,10,0.5814,1.1101005505463153
195,195,195,1000,100,1,10,10,0.5902000000000001,1.1281521496355325
196,196,196,1000,100,1,10,10,0.6368,1.310408988511494
197,197,197,1000,100,1,10,10,0.6248,1.2309149097933274
198,198,198,1000,100,1,10,10,0.6174,1.2309149097933274
199,199,199,1000,100,1,10,10,0.6384000000000001,1.2712834523274563
