,RunId,iteration,Step,N,D,width,height,gini,wealth_standard_deviation
0,0,0,1000,100,0,10,10,0.605,1.2309149097933274
1,1,1,1000,100,0,10,10,0.5806,1.1281521496355325
2,2,2,1000,100,0,10,10,0.6612,1.428427121138506
3,3,3,1000,100,0,10,10,0.6215999999999999,1.2552918289216957
4,4,4,1000,100,0,10,10,0.6474,1.4354811251305468
5,5,5,1000,100,0,10,10,0.6838,1.5242153139344596
6,6,6,1000,100,0,10,10,0.6704,1.3926212476455828
7,7,7,1000,100,0,10,10,0.6622,1.407052941362897
8,8,8,1000,100,0,10,10,0.5992,1.1547005383792515
9,9,9,1000,100,0,10,10,0.6772,1.7407765595569784
10,10,10,1000,100,0,10,10,0.6128,1.2060453783110545
11,11,11,1000,100,0,10,10,0.681,1.3926212476455828
12,12,12,1000,100,0,10,10,0.6414,1.2792042981336627
13,13,13,1000,100,0,10,10,0.6748000000000001,1.5699192541804385
14,14,14,1000,100,0,10,10,0.6324000000000001,1.2712834523274563
15,15,15,1000,100,0,10,10,0.5932,1.1806521053804944
16,16,16,1000,100,0,10,10,0.7032,1.497472618255253
17,17,17,1000,100,0,10,10,0.6714,1.4633571475938953
18,18,18,1000,100,0,10,10,0.6798,1.4142135623730951
19,19,19,1000,100,0,10,10,0.6724,1.4425006345953824
20,20,20,1000,100,0,10,10,0.6706000000000001,1.4425006345953824
21,21,21,1000,100,0,10,10,0.6606000000000001,1.5109031348264133
22,22,22,1000,100,0,10,10,0.6662,1.5042028661807099
23,23,23,1000,100,0,10,10,0.652,1.318094737632215
24,24,24,1000,100,0,10,10,0.7154,1.6080605044147394
25,25,25,1000,100,0,10,10,0.7152000000000001,1.5308279927654653
26,26,26,1000,100,0,10,10,0.6235999999999999,1.2390938363794468
27,27,27,1000,100,0,10,10,0.6274,1.2712834523274563
28,28,28,1000,100,0,10,10,0.6342,1.3026778945578592
29,29,29,1000,100,0,10,10,0.7218,1.7232808737106582
30,30,30,1000,100,0,10,10,0.6742,1.483920551114581
31,31,31,1000,100,0,10,10,0.7392000000000001,1.5954480704349312
32,32,32,1000,100,0,10,10,0.661,1.4354811251305468
33,33,33,1000,100,0,10,10,0.6834,1.556997888323046
34,34,34,1000,100,0,10,10,0.6456,1.3333333333333333
35,35,35,1000,100,0,10,10,0.6736,1.4354811251305468
36,36,36,1000,100,0,10,10,0.6597999999999999,1.4142135623730951
37,37,37,1000,100,0,10,10,0.6188,1.3026778945578592
38,38,38,1000,100,0,10,10,0.6182000000000001,1.2226812728383039
39,39,39,1000,100,0,10,10,0.6168,1.2060453783110545
40,40,40,1000,100,0,10,10,0.6536,1.348399724926484
41,41,41,1000,100,0,10,10,0.675,1.483920551114581
42,42,42,1000,100,0,10,10,0.6878,1.5439683882250905
43,43,43,1000,100,0,10,10,0.6759999999999999,1.497472618255253
44,44,44,1000,100,0,10,10,0.6568,1.3926212476455828
45,45,45,1000,100,0,10,10,0.628,1.2712834523274563
46,46,46,1000,100,0,10,10,0.6574,1.3926212476455828
47,47,47,1000,100,0,10,10,0.5662,1.0917505172516255
48,48,48,1000,100,0,10,10,0.6814,1.4770978917519928
49,49,49,1000,100,0,10,10,0.6338,1.2949006435891817
50,50,50,1000,100,0,10,10,0.6746000000000001,1.4142135623730951
51,51,51,1000,100,0,10,10,0.6676,1.3558701406786118
52,52,52,1000,100,0,10,10,0.6799999999999999,1.428427121138506
53,53,53,1000,100,0,10,10,0.6304000000000001,1.2870763988845637
54,54,54,1000,100,0,10,10,0.6252,1.2552918289216957
55,55,55,1000,100,0,10,10,0.6494,1.3026778945578592
56,56,56,1000,100,0,10,10,0.728,1.6017667013821226
57,57,57,1000,100,0,10,10,0.6512,1.4213381090374029
58,58,58,1000,100,0,10,10,0.6078,1.2143918126978108
59,59,59,1000,100,0,10,10,0.5884,1.145919418253881
60,60,60,1000,100,0,10,10,0.6848000000000001,1.4494861506789574
61,61,61,1000,100,0,10,10,0.6295999999999999,1.2390938363794468
62,62,62,1000,100,0,10,10,0.6904,1.4907119849998598
63,63,63,1000,100,0,10,10,0.6882,1.428427121138506
64,64,64,1000,100,0,10,10,0.6335999999999999,1.2792042981336627
65,65,65,1000,100,0,10,10,0.6552,1.3026778945578592
66,66,66,1000,100,0,10,10,0.5776,1.1720654306553768
67,67,67,1000,100,0,10,10,0.618,1.483920551114581
68,68,68,1000,100,0,10,10,0.6716,1.5042028661807099
69,69,69,1000,100,0,10,10,0.65,1.3706888336846839
70,70,70,1000,100,0,10,10,0.652,1.4494861506789574
71,71,71,1000,100,0,10,10,0.6762,1.3926212476455828
72,72,72,1000,100,0,10,10,0.6516,1.3926212476455828
73,73,73,1000,100,0,10,10,0.6664,1.348399724926484
74,74,74,1000,100,0,10,10,0.5874,1.1634153830577252
75,75,75,1000,100,0,10,10,0.626,1.2226812728383039
76,76,76,1000,100,0,10,10,0.6734,1.3780384243517665
77,77,77,1000,100,0,10,10,0.6812,1.4633571475938953
78,78,78,1000,100,0,10,10,0.6148,1.2143918126978108
79,79,79,1000,100,0,10,10,0.6882,1.4564381625088383
80,80,80,1000,100,0,10,10,0.627,1.2226812728383039
81,81,81,1000,100,0,10,10,0.6892,1.5374122295716148
82,82,82,1000,100,0,10,10,0.6532,1.3333333333333333
83,83,83,1000,100,0,10,10,0.6921999999999999,1.4770978917519928
84,84,84,1000,100,0,10,10,0.6696,1.4494861506789574
85,85,85,1000,100,0,10,10,0.5794,1.1976407785072427
86,86,86,1000,100,0,10,10,0.6652,1.3853490243227224
87,87,87,1000,100,0,10,10,0.6348,1.2552918289216957
